Configuração completa da Sala: 638 - Tempo de Processamento: 3 minutes, 14 seconds
Configuração completa da Sala: 583 - Tempo de Processamento: 3 minutes, 14 seconds
Configuração completa da Sala: 581 - Tempo de Processamento: 3 minutes, 12 seconds
Configuração completa da Sala: 645 - Tempo de Processamento: 3 minutes, 14 seconds
Configuração completa da Sala: 646 - Tempo de Processamento: 3 minutes, 14 seconds
Configuração completa da Sala: 641 - Tempo de Processamento: 3 minutes, 14 seconds
Configuração completa da Sala: 644 - Tempo de Processamento: 3 minutes, 14 seconds
Configuração completa da Sala: 642 - Tempo de Processamento: 3 minutes, 14 seconds
Configuração completa da Sala: 643 - Tempo de Processamento: 3 minutes, 14 seconds
Configuração completa da Sala: 386 - Tempo de Processamento: 3 minutes, 14 seconds
Configuração completa da Sala: 389 - Tempo de Processamento: 3 minutes, 14 seconds
Configuração completa da Sala: 390 - Tempo de Processamento: 3 minutes, 14 seconds
Configuração completa da Sala: 733 - Tempo de Processamento: 3 minutes, 14 seconds
Configuração completa da Sala: 392 - Tempo de Processamento: 3 minutes, 14 seconds
Configuração completa da Sala: 393 - Tempo de Processamento: 3 minutes, 14 seconds
Configuração completa da Sala: 394 - Tempo de Processamento: 3 minutes, 14 seconds
Configuração completa da Sala: 395 - Tempo de Processamento: 3 minutes, 14 seconds
Configuração completa da Sala: 396 - Tempo de Processamento: 3 minutes, 14 seconds
Configuração completa da Sala: 397 - Tempo de Processamento: 3 minutes, 14 seconds
Configuração completa da Sala: 398 - Tempo de Processamento: 3 minutes, 14 seconds
Configuração completa da Sala: 399 - Tempo de Processamento: 3 minutes, 14 seconds
Configuração completa da Sala: 734 - Tempo de Processamento: 3 minutes, 14 seconds
Configuração completa da Sala: 675 - Tempo de Processamento: 3 minutes, 14 seconds
Configuração completa da Sala: 674 - Tempo de Processamento: 3 minutes, 14 seconds
Configuração completa da Sala: 676 - Tempo de Processamento: 3 minutes, 14 seconds
Configuração completa da Sala: 677 - Tempo de Processamento: 3 minutes, 14 seconds
Configuração completa da Sala: 673 - Tempo de Processamento: 3 minutes, 18 seconds
Configuração completa da Sala: 672 - Tempo de Processamento: 3 minutes, 14 seconds
Configuração completa da Sala: 693 - Tempo de Processamento: 3 minutes, 14 seconds
Configuração completa da Sala:880 - Tempo de Processamento: 3 minutes, 15 seconds
Configuração completa da Sala:903 - Tempo de Processamento: 3 minutes, 14 seconds
